Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
486	15.	0.	90.	-0.11137
487	15.	0.	95.	-0.909
488	20.	0.	95.	2.5469
489	20.	0.	90.	-0.17595
490	20.	0.	85.	0.12689
491	20.	0.	80.	-2.5545e-002
492	20.	0.	75.	4.438e-003
493	20.	0.	70.	-1.6145e-003
494	20.	0.	65.	1.1141e-005
495	20.	0.	60.	-6.5324e-005
496	20.	0.	55.	-6.2518e-006
497	20.	0.	50.	1.5366e-006
498	20.	0.	45.	2.212e-006
499	20.	0.	40.	-5.014e-006
500	20.	0.	35.	1.4622e-005
501	20.	0.	30.	-1.1107e-004
502	20.	0.	25.	2.5499e-004
503	20.	0.	20.	-1.4226e-003
504	20.	0.	15.	4.0472e-003
505	20.	0.	10.	-2.2415e-002
506	20.	0.	5.	3.8578e-003
507	20.	0.	0.	-7.9909e-003
508	15.	0.	0.	3.0357e-002
509	10.	0.	0.	9.4953e-002
510	5.	0.	0.	3.0357e-002
511	20.	0.	100.	-10.968
512	15.	0.	100.	-9.4595
513	10.	0.	100.	-11.262
514	5.	0.	100.	-9.4595
515	15.	25.	95.	0.909
516	10.	25.	95.	1.6622
517	5.	25.	95.	0.909
518	15.	25.	90.	0.11136
519	10.	25.	90.	0.38146
520	5.	25.	90.	0.11136
521	15.	25.	85.	-1.2746e-002
522	10.	25.	85.	8.036e-003
523	5.	25.	85.	-1.2746e-002
524	15.	25.	80.	-1.6345e-002
525	10.	25.	80.	-2.3448e-002
526	5.	25.	80.	-1.6345e-002
527	15.	25.	75.	-9.3645e-003
528	10.	25.	75.	-1.8413e-002
529	5.	25.	75.	-9.3645e-003
530	15.	25.	70.	-3.3877e-003
531	10.	25.	70.	-6.1144e-003
532	5.	25.	70.	-3.3875e-003
533	15.	25.	65.	-9.4458e-004
534	10.	25.	65.	-2.1726e-003
535	5.	25.	65.	-9.4457e-004
536	15.	25.	60.	-1.9065e-004
537	10.	25.	60.	-3.8873e-004
538	5.	25.	60.	-1.9083e-004
539	15.	25.	55.	-9.1026e-006
540	10.	25.	55.	-6.0766e-005
541	5.	25.	55.	-8.9334e-006
542	15.	25.	50.	1.658e-005
543	10.	25.	50.	2.8274e-005
544	5.	25.	50.	1.6582e-005
545	15.	25.	45.	1.5374e-005
546	10.	25.	45.	2.4477e-005
547	5.	25.	45.	1.5361e-005
548	15.	25.	40.	1.1254e-005
549	10.	25.	40.	1.6601e-005
550	5.	25.	40.	1.1256e-005
551	15.	25.	35.	-2.3559e-005
552	10.	25.	35.	-8.3854e-005
553	5.	25.	35.	-2.3576e-005
554	15.	25.	30.	-2.664e-004
555	10.	25.	30.	-5.29e-004
556	5.	25.	30.	-2.6634e-004
557	15.	25.	25.	-1.1303e-003
558	10.	25.	25.	-2.2572e-003
559	5.	25.	25.	-1.1303e-003
560	15.	25.	20.	-3.9098e-003
561	10.	25.	20.	-6.4273e-003
562	5.	25.	20.	-3.9096e-003
563	15.	25.	15.	-8.0422e-003
564	10.	25.	15.	-1.2267e-002
565	5.	25.	15.	-8.0423e-003
566	15.	25.	10.	-1.1142e-003
567	10.	25.	10.	1.0333e-002
568	5.	25.	10.	-1.1144e-003
569	15.	25.	5.	0.14053
570	10.	25.	5.	0.193
571	5.	25.	5.	0.14053
572	20.	25.	95.	-2.5469
573	20.	25.	90.	0.17595
574	20.	25.	85.	-0.12689
575	20.	25.	80.	2.5545e-002
576	20.	25.	75.	-4.4377e-003
577	20.	25.	70.	1.6147e-003
578	20.	25.	65.	-1.1282e-005
579	20.	25.	60.	6.5324e-005
580	20.	25.	55.	6.0254e-006
581	20.	25.	50.	-1.3139e-006
582	20.	25.	45.	-2.0475e-006
583	20.	25.	40.	5.0316e-006
584	20.	25.	35.	-1.4627e-005
585	20.	25.	30.	1.1091e-004
586	20.	25.	25.	-2.5475e-004
587	20.	25.	20.	1.4228e-003
588	20.	25.	15.	-4.0475e-003
589	20.	25.	10.	2.2415e-002
590	20.	25.	5.	-3.8575e-003
591	5.	25.	0.	-3.0357e-002
592	10.	25.	0.	-9.4953e-002
593	15.	25.	0.	-3.0357e-002
594	20.	25.	0.	7.9909e-003
595	5.	25.	100.	9.4595
596	10.	25.	100.	11.262
597	15.	25.	100.	9.4595
598	20.	25.	100.	10.968
599	15.	5.	100.	-3.6399
600	10.	5.	100.	-4.5132
601	5.	5.	100.	-3.6399
602	15.	10.	100.	-1.4308
603	10.	10.	100.	-1.7753
604	5.	10.	100.	-1.4308
605	15.	15.	100.	1.4308
606	10.	15.	100.	1.7753
607	5.	15.	100.	1.4308
608	15.	20.	100.	3.6399
609	10.	20.	100.	4.5132
610	5.	20.	100.	3.6399
611	20.	5.	100.	-5.3561
612	20.	10.	100.	-1.9279
613	20.	15.	100.	1.9279
614	20.	20.	100.	5.3561
615	5.	20.	0.	-0.29046
616	5.	15.	0.	-6.2452e-002
617	5.	10.	0.	6.2452e-002
618	5.	5.	0.	0.29046
619	10.	20.	0.	-0.42283
620	10.	15.	0.	-0.1165
621	10.	10.	0.	0.1165
622	10.	5.	0.	0.42283
623	15.	20.	0.	-0.29046
624	15.	15.	0.	-6.2452e-002
625	15.	10.	0.	6.2451e-002
626	15.	5.	0.	0.29046
627	20.	5.	0.	-1.0933e-002
628	20.	10.	0.	1.8184e-002
629	20.	15.	0.	-1.8184e-002
630	20.	20.	0.	1.0933e-002
631	12.5	5.	95.	-1.7231
632	15.	5.	92.5	-0.72436
633	15.	7.5	95.	-0.93689
634	17.5	5.	95.	-0.12154
635	15.	2.5	95.	-1.1761
636	15.	5.	97.5	-2.5416
637	7.5	5.	95.	-1.7231
638	10.	5.	92.5	-1.0864
639	10.	7.5	95.	-1.3166
640	10.	2.5	95.	-1.8326
641	10.	5.	97.5	-3.2581
642	5.	5.	92.5	-0.72436
643	5.	7.5	95.	-0.93689
644	2.5	5.	95.	-0.12154
645	5.	2.5	95.	-1.1761
646	5.	5.	97.5	-2.5416
647	12.5	5.	90.	-8.7616e-002
648	15.	5.	87.5	-3.3109e-003
649	15.	7.5	90.	1.5139e-002
650	17.5	5.	90.	-4.8628e-002
651	15.	2.5	90.	-5.8404e-002
652	7.5	5.	90.	-8.7616e-002
653	10.	5.	87.5	-8.5839e-002
654	10.	7.5	90.	-9.7754e-002
655	10.	2.5	90.	-0.27562
656	5.	5.	87.5	-3.311e-003
657	5.	7.5	90.	1.5139e-002
658	2.5	5.	90.	-4.8629e-002
659	5.	2.5	90.	-5.8404e-002
660	12.5	5.	85.	-1.5339e-003
661	15.	5.	82.5	1.0448e-002
662	15.	7.5	85.	-7.7077e-004
663	17.5	5.	85.	2.622e-002
664	15.	2.5	85.	5.784e-003
665	7.5	5.	85.	-1.5339e-003
666	10.	5.	82.5	1.7256e-002
667	10.	7.5	85.	4.3482e-004
668	10.	2.5	85.	-4.9627e-003
669	5.	5.	82.5	1.0448e-002
670	5.	7.5	85.	-7.7072e-004
671	2.5	5.	85.	2.622e-002
672	5.	2.5	85.	5.784e-003
673	12.5	5.	80.	2.9238e-002
674	15.	5.	77.5	1.4606e-002
675	15.	7.5	80.	1.627e-002
676	17.5	5.	80.	3.5356e-003
677	15.	2.5	80.	1.921e-002
678	7.5	5.	80.	2.9238e-002
679	10.	5.	77.5	2.5656e-002
680	10.	7.5	80.	2.6077e-002
681	10.	2.5	80.	2.9925e-002
682	5.	5.	77.5	1.4606e-002
683	5.	7.5	80.	1.627e-002
684	2.5	5.	80.	3.5356e-003
685	5.	2.5	80.	1.921e-002
686	12.5	5.	75.	1.1024e-002
687	15.	5.	72.5	4.984e-003
688	15.	7.5	75.	5.0624e-003
689	17.5	5.	75.	4.381e-003
690	15.	2.5	75.	8.2516e-003
691	7.5	5.	75.	1.1024e-002
692	10.	5.	72.5	1.0224e-002
693	10.	7.5	75.	1.0665e-002
694	10.	2.5	75.	1.6662e-002
695	5.	5.	72.5	4.9839e-003
696	5.	7.5	75.	5.0623e-003
697	2.5	5.	75.	4.3809e-003
698	5.	2.5	75.	8.2515e-003
699	12.5	5.	70.	4.1837e-003
700	15.	5.	67.5	1.7581e-003
701	15.	7.5	70.	1.9964e-003
702	17.5	5.	70.	8.9584e-004
703	15.	2.5	70.	3.1086e-003
704	7.5	5.	70.	4.1836e-003
705	10.	5.	67.5	3.5377e-003
706	10.	7.5	70.	3.8208e-003
707	10.	2.5	70.	5.8261e-003
708	5.	5.	67.5	1.7581e-003
709	5.	7.5	70.	1.9964e-003
710	2.5	5.	70.	8.9586e-004
711	5.	2.5	70.	3.1086e-003
712	12.5	5.	65.	1.1121e-003
713	15.	5.	62.5	4.1407e-004
